lcsc,ee_pad,our_pad,reason
C2286,1,2,KT-0603R: EasyEDA pad 1 is the anode; our footprint pad 1 is the cathode
C2286,2,1,KT-0603R: EasyEDA pad 2 is the cathode; our footprint pad 2 is the anode
