Designator,Mid X,Mid Y,Layer,Rotation
C106,47.1163mm,34.7766mm,Top,0
C105,52.0000mm,40.5000mm,Top,180
C104,42.4176mm,37.1889mm,Top,90
C103,44.1677mm,31.3497mm,Bottom,90
C102,51.8629mm,27.0176mm,Top,0
C101,53.7033mm,3.3012mm,Top,270
C100,38.8922mm,11.0993mm,Bottom,270
C99,35.3993mm,9.1061mm,Bottom,180
C98,52.3508mm,3.8211mm,Bottom,0
C97,51.5000mm,3.3250mm,Top,270
C96,58.4624mm,7.4736mm,Top,0
C95,58.5702mm,5.5693mm,Top,180
C94,42.7972mm,11.0660mm,Bottom,270
C93,43.7728mm,11.4031mm,Bottom,180
C92,36.5783mm,13.4718mm,Bottom,180
C86,27.1563mm,1.8105mm,Top,180
C85,45.4232mm,14.9969mm,Bottom,270
C84,41.4808mm,14.9945mm,Bottom,90
C82,39.8388mm,14.0039mm,Bottom,180
C81,43.4543mm,15.0050mm,Bottom,270
C80,42.7829mm,14.9981mm,Bottom,270
C79,42.1554mm,15.0028mm,Bottom,90
C78,45.4068mm,13.6699mm,Bottom,270
C77,44.7813mm,14.9996mm,Bottom,270
C76,44.1069mm,14.9997mm,Bottom,270
C75,42.8073mm,13.6849mm,Bottom,270
C74,43.4491mm,13.6835mm,Bottom,270
C73,44.0825mm,13.6753mm,Bottom,270
C72,44.7542mm,13.6753mm,Bottom,270
C71,43.4390mm,12.3820mm,Bottom,270
C70,44.7388mm,12.3847mm,Bottom,270
C69,42.1470mm,13.6825mm,Bottom,90
C68,40.5382mm,12.6947mm,Bottom,180
C67,42.1529mm,11.7105mm,Bottom,270
C66,42.7809mm,12.3793mm,Bottom,270
C65,40.8262mm,15.6322mm,Bottom,90
C63,41.1761mm,12.0420mm,Bottom,180
C58,44.0916mm,12.3793mm,Bottom,270
C57,41.1646mm,14.0198mm,Bottom,0
C56,39.2224mm,12.6966mm,Bottom,180
C55,39.8846mm,12.0365mm,Bottom,180
C54,40.5296mm,11.3900mm,Bottom,0
C53,39.8497mm,15.3066mm,Bottom,180
C52,39.8446mm,14.6616mm,Bottom,0
C51,39.8431mm,13.3563mm,Bottom,0
C50,47.0000mm,40.5000mm,Top,180
C49,44.4237mm,19.2046mm,Bottom,180
C48,41.5078mm,16.2843mm,Bottom,90
C47,41.1795mm,18.5628mm,Bottom,180
C46,41.1767mm,19.2046mm,Bottom,180
C45,45.0752mm,18.5505mm,Bottom,180
C44,42.4759mm,17.8976mm,Bottom,180
C43,42.7962mm,16.9276mm,Bottom,90
C42,42.1350mm,16.3093mm,Bottom,90
C40,44.0841mm,16.2669mm,Bottom,90
C39,44.7404mm,16.2631mm,Bottom,90
C37,43.7759mm,17.2469mm,Bottom,0
C36,39.4968mm,20.9755mm,Top,180
C35,37.6319mm,20.9833mm,Top,0
C34,41.3994mm,20.9961mm,Top,180
C33,43.9992mm,20.9961mm,Top,180
C32,30.1824mm,1.8778mm,Top,180
C31,45.7272mm,12.0378mm,Bottom,180
C30,45.7275mm,12.6627mm,Bottom,0
C29,46.3865mm,14.0047mm,Bottom,0
C28,45.7231mm,11.3995mm,Bottom,0
C27,44.7482mm,11.0864mm,Bottom,270
C26,46.0477mm,14.9865mm,Bottom,270
C25,46.0457mm,16.2744mm,Bottom,90
C24,27.2511mm,40.7561mm,Bottom,180
C23,38.5008mm,35.5039mm,Top,0
C22,59.3749mm,42.2694mm,Bottom,270
C21,59.4666mm,36.1744mm,Bottom,270
C19,55.6844mm,43.4572mm,Top,90
C18,58.5939mm,39.8908mm,Top,0
C17,58.2000mm,12.9250mm,Top,270
C16,55.6034mm,37.2573mm,Top,90
C15,52.7821mm,33.8002mm,Top,0
C14,53.0812mm,38.8030mm,Top,0
C13,40.1991mm,16.9221mm,Bottom,90
C12,39.8495mm,15.9550mm,Bottom,180
C11,57.5000mm,33.5000mm,Top,90
C10,41.5006mm,11.0731mm,Bottom,270
C8,48.2079mm,7.4877mm,Top,0
C7,34.9947mm,7.4609mm,Bottom,180
C6,34.0130mm,12.0002mm,Bottom,180
C5,36.5503mm,10.7839mm,Bottom,180
C3,53.1497mm,29.9550mm,Top,270
C2,55.5000mm,26.5000mm,Top,0
C1,45.6568mm,29.9522mm,Top,90
R57,25.4158mm,45.7937mm,Top,0
R28,49.5036mm,45.4939mm,Top,180
C89,52.0000mm,45.5000mm,Top,0
C87,47.0000mm,45.5000mm,Top,0
C20,58.5074mm,45.8864mm,Top,0
R72,43.8101mm,46.5063mm,Top,90
C109,42.1369mm,46.5090mm,Top,270
R44,25.4266mm,47.1402mm,Top,0
R35,34.3530mm,47.7157mm,Bottom,180
R32,45.7943mm,47.0979mm,Top,0
R19,49.4598mm,47.1172mm,Top,180
RB6,54.5061mm,48.5036mm,Top,270
R43,25.4428mm,48.4976mm,Top,0
R76,28.9054mm,49.5805mm,Bottom,90
R38,25.7764mm,50.1101mm,Top,270
RB5,54.7734mm,50.5177mm,Top,270
C88,30.9649mm,52.6478mm,Bottom,90
U11,33.7206mm,45.2175mm,Top,270
