LCSC Part Number,Quantity
C2757850,2
C41368035,2
C2903663,106
C22459552,4
C668312,10
C703141,4
C2845237,6
C2693497,4
C268096,2
C478118,6
C2965580,2
C42414902,2
C324768,8
C49653548,2
C49655223,4
C54920709,4
C129319,2
C165143,4
C165948,4
C3035748,2
C51928208,2
C3010298,2
